result_type,teacher_id,teacher_name,school_id,school_name,school_level,subject,grade,school_year,test,number_of_students,score_tier,score_lower_bound,score_upper_bound,score_colorcode,calculation_method
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Overall,99,2010-2011,Overall,90,3.51,2.56,3.77,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Math,4,2010-2011,Testtype_1,10,2.96,1.45,3.5,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Math,5,2010-2011,Testtype_1,18,4.73,3.6,5,Green,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,10,2010-2011,Testtype_1,6,2.83,1.6,3.84,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,12,2010-2011,Testtype_1,18,3.08,2.5,4,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,5,2010-2011,Testtype_1,15,3.88,2.8,5,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,4,2010-2011,Testtype_1,15,3.62,2.46,4.7,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,7,2010-2011,Testtype_1,5,3.02,2.68,4,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,9,2010-2011,Testtype_1,20,3.01,2.4,3.98,Red,Method_1
teacher,t_21,Teacher 1,s_1,Schoolname_1,,Reading,8,2010-2011,Testtype_1,19,2.46,2,3.75,Red,Method_1
teacher,t_22,Teacher 2,s_2,Schoolname_2,,Overall,99,2010-2011,Overall,14,4.23,3.15,5.16,Red,Method_2
teacher,t_22,Teacher 2,s_2,Schoolname_2,,Math,0,2010-2011,Testtype_2,12,3.8,2.31,5.19,Red,Method_2
teacher,t_22,Teacher 2,s_2,Schoolname_2,,Reading,0,2010-2011,Testtype_3,12,3.96,2.22,5.31,Red,Method_2
teacher,t_23,Teacher 3,s_2,Schoolname_2,,Overall,99,2010-2011,Overall,38,3.38,2.5,4.59,Green,Method_2
teacher,t_23,Teacher 3,s_2,Schoolname_2,,Math,2,2010-2011,Testtype_1,26,4.12,2.85,5.02,Green,Method_2
teacher,t_23,Teacher 3,s_2,Schoolname_2,,Reading,2,2010-2011,Testtype_1,17,3.37,2.1,4.21,Red,Method_2
teacher,t_23,Teacher 3,s_2,Schoolname_2,,Math,1,2010-2011,Testtype_2,18,4.19,2.5,5.75,Green,Method_2
teacher,t_23,Teacher 3,s_2,Schoolname_2,,Reading,1,2010-2011,Testtype_2,10,3.66,1.8,3.98,Red,Method_2
